PV (kWh),Load (kWh),Price ($/kWh)
177.5,2094.0,1.0590000000000002
0.0,2045.5,0.9045
0.0,1971.5,0.8993000000000001
0.0,1822.5,0.7353000000000001
0.0,1670.0,0.6258
0.0,1535.0,0.6
0.0,1440.5,0.6426000000000001
0.0,1393.0,0.5694
0.0,1375.5,0.4920000000000001
0.0,1377.0,0.4934000000000001
0.0,1423.0,0.531
0.0,1555.0,0.5838
0.0,1737.5,0.8327
139.5,1853.5,1.0494
636.0,1904.0,1.0139
1286.5,1949.5,1.0609
1870.5,1981.0,1.0564
2274.0,1991.0,1.0415
2423.0,1969.0,0.9568
2336.5,1940.0,0.8281000000000001
2038.5,1905.0,0.7853
1607.0,1885.5,0.7972
1111.0,1954.5,0.9793
601.0,2099.0,1.2869
177.5,2081.0,1.2488
0.0,2021.5,1.0693
0.0,1941.0,0.99
0.0,1831.0,0.84
0.0,1699.5,0.7794
0.0,1573.5,0.7232
0.0,1481.0,0.9882
0.0,1443.5,0.831
0.0,1417.0,0.7376999999999999
0.0,1411.5,0.7264
0.0,1429.5,0.7398
0.0,1486.0,0.8434999999999999
0.0,1582.5,0.947
139.5,1691.5,1.0824
636.0,1791.5,1.2486
1286.5,1842.0,1.3852000000000002
1870.5,1850.0,1.5328
2274.0,1827.0,1.3976
2423.0,1789.5,1.3363999999999998
2336.5,1756.0,1.2115
2038.5,1735.5,1.16
1607.0,1744.0,1.18
1111.0,1842.0,1.325
601.0,2011.5,1.7953
177.5,2003.5,1.87
0.0,1942.0,1.5485
0.0,1871.0,1.4543
0.0,1784.0,1.34
0.0,1668.0,1.2152
0.0,1558.0,1.2647
0.0,1472.0,1.2726
0.0,1427.0,1.1621
0.0,1407.0,1.0931
0.0,1400.0,1.0688
0.0,1412.5,1.1073
0.0,1448.5,1.1811
0.0,1527.5,1.1043
139.5,1629.0,1.0902
636.0,1752.0,1.2912
1286.5,1824.5,1.4319
1870.5,1845.0,1.4713999999999998
2274.0,1848.5,1.5389
2423.0,1834.5,1.5032
2336.5,1817.5,1.4711
2038.5,1815.5,1.4068
1607.0,1820.5,1.4545
1111.0,1937.0,1.6421
601.0,2131.5,2.0534
177.5,2133.5,1.9949
0.0,2075.5,1.7685
0.0,1996.5,1.8914
0.0,1878.0,1.7148
0.0,1749.5,1.5156999999999998
0.0,1639.0,1.5062
0.0,1561.5,1.3788
0.0,1541.0,1.3421
0.0,1532.0,1.3024
0.0,1547.5,1.2924
0.0,1600.5,1.3017
0.0,1742.5,1.4025
0.0,1992.0,1.7087
139.5,2104.0,1.8634
636.0,2116.5,1.8825
1286.5,2116.5,1.965
1870.5,2122.0,1.9013
2274.0,2121.0,1.8652
2423.0,2095.5,1.83
2336.5,2073.5,1.83
2038.5,2031.5,1.6999000000000002
1607.0,2022.5,1.8187
1111.0,2098.5,1.9199
601.0,2284.0,2.57
177.5,2282.5,2.4582
0.0,2229.5,2.1661
0.0,2137.5,1.9532
0.0,1997.5,1.7278
0.0,1830.5,1.5608000000000002
0.0,1682.0,1.53
0.0,1595.0,1.1299
0.0,1553.5,1.004
0.0,1537.5,0.9602
0.0,1536.5,0.9853
0.0,1580.5,0.9911
0.0,1719.5,1.1
0.0,1942.5,1.4633
139.5,2044.0,1.6864
636.0,2054.0,1.6725
1286.5,2062.5,1.6942
1870.5,2072.0,1.5999
2274.0,2067.5,1.46
2423.0,2038.5,1.3972
2336.5,2020.0,1.2571
2038.5,1989.5,1.2464
1607.0,1970.0,1.3485
1111.0,2033.5,1.4825
601.0,2194.0,1.8103
177.5,2211.0,1.8052
0.0,2160.5,1.6802
0.0,2071.5,1.5134
0.0,1937.0,1.39
0.0,1769.5,0.9863
0.0,1631.0,1.0063
0.0,1550.5,0.4939
0.0,1506.0,0.4593
0.0,1484.0,0.4438
0.0,1489.5,0.4919
0.0,1528.5,0.5064
0.0,1675.5,0.4847
0.0,1904.0,0.7475
139.5,2004.5,0.8863
636.0,2001.5,0.7996
1286.5,2010.0,0.7903
1870.5,2018.5,0.7962
2274.0,1998.5,0.7761
2423.0,1963.5,0.7529
2336.5,1956.5,0.7236
2038.5,1940.5,0.6858
1607.0,1939.5,0.7154
1111.0,2016.0,0.7725
601.0,2138.0,1.0783
177.5,2127.0,0.952
0.0,2068.0,0.8404
0.0,1973.5,0.7668
0.0,1835.0,0.7254999999999999
0.0,1675.0,0.6601
0.0,1543.0,0.5943999999999999
0.0,1459.0,0.5109
0.0,1416.5,0.4535
0.0,1400.5,0.4452
0.0,1405.0,0.4484
0.0,1448.0,0.449
0.0,1576.5,0.5075999999999999
0.0,1788.0,0.5820000000000001
139.5,1906.5,0.7428
636.0,1933.5,0.7034
1286.5,1928.5,0.7462000000000001
1870.5,1928.5,0.774
2274.0,1927.5,0.7764
2423.0,1901.5,0.7295999999999999
2336.5,1879.0,0.7051999999999999
2038.5,1855.5,0.6960999999999999
1607.0,1854.0,0.6998000000000001
1111.0,1922.0,0.7831
601.0,2083.5,0.9473
177.5,2097.5,0.8893000000000001
0.0,2045.5,0.8534
0.0,1962.0,0.8290000000000001
0.0,1834.0,0.8159000000000001
0.0,1667.0,0.5945
0.0,1537.0,0.5517
0.0,1456.0,0.5972
0.0,1412.0,0.5211
0.0,1396.5,0.52
0.0,1407.0,0.5092
0.0,1453.5,0.4733
0.0,1591.5,0.5163
0.0,1830.5,0.871
139.5,1942.5,1.0052
636.0,1940.0,1.036
1286.5,1926.5,1.1454
1870.5,1911.5,1.0975
2274.0,1878.5,1.1584
2423.0,1843.0,1.1043
2336.5,1830.0,1.0753
2038.5,1803.5,1.0641
1607.0,1790.5,1.0663
1111.0,1856.5,1.0887
601.0,2001.5,1.258
177.5,1992.5,1.1323
0.0,1933.0,1.0672
0.0,1870.0,0.9926
0.0,1763.0,0.8955
0.0,1628.5,0.7236
0.0,1500.0,0.6467
0.0,1403.5,0.6605
0.0,1351.5,0.5635
0.0,1321.0,0.5632
0.0,1319.5,0.595
0.0,1332.0,0.6101
0.0,1389.5,0.5935
0.0,1496.5,0.6758
139.5,1617.5,0.7156
636.0,1738.0,0.7793000000000001
1286.5,1796.0,0.9077
1870.5,1809.5,1.0335
2274.0,1795.5,0.9586
2423.0,1759.0,0.878
2336.5,1736.0,0.8247
2038.5,1717.0,0.7907
1607.0,1714.0,0.755
1111.0,1793.5,0.9346
601.0,1941.0,1.4022
177.5,1923.5,1.3177
0.0,1858.5,1.1532
0.0,1785.5,1.0961
0.0,1695.5,0.9633
0.0,1576.5,0.7523000000000001
0.0,1460.5,0.7171
0.0,1378.5,0.7170000000000001
0.0,1340.0,0.6286
0.0,1318.0,0.6371
0.0,1312.5,0.6442
0.0,1322.0,0.6534
0.0,1367.0,0.6696
0.0,1451.0,0.616
139.5,1556.5,0.6244
636.0,1685.0,0.6648000000000001
1286.5,1766.0,0.7889
1870.5,1790.0,0.8131
2274.0,1797.0,0.7783
2423.0,1787.5,0.746
2336.5,1765.0,0.6905
2038.5,1747.0,0.6598
1607.0,1746.0,0.6799
1111.0,1830.0,0.8642
601.0,2008.0,1.1014
177.5,2013.0,1.0973
0.0,1955.0,1.045
0.0,1864.5,0.9598
0.0,1735.5,0.8911
0.0,1594.5,0.7922
0.0,1481.0,0.7204
0.0,1410.5,0.6598
0.0,1378.0,0.5861999999999999
0.0,1370.5,0.5432
0.0,1383.5,0.5972999999999999
0.0,1444.0,0.622
0.0,1597.5,0.6766
0.0,1866.0,0.8529000000000001
139.5,1968.0,1.0981999999999998
636.0,1975.0,1.1139
1286.5,1958.5,1.1235
1870.5,1958.0,1.0363
2274.0,1940.0,1.0118
2423.0,1918.5,1.0134999999999998
2336.5,1899.0,0.9254
2038.5,1883.5,0.9067
1607.0,1879.5,0.8926999999999999
1111.0,1956.0,0.9364
601.0,2143.5,1.2582
177.5,2170.5,1.3503
0.0,2129.0,1.1099
0.0,2043.0,1.0759999999999998
0.0,1904.0,0.9358
0.0,1730.5,0.8643000000000001
0.0,1589.0,0.7703
0.0,1511.0,0.6302
0.0,1462.0,0.4920000000000001
0.0,1445.0,0.5022
0.0,1449.0,0.5738
0.0,1499.5,0.5587
0.0,1645.5,0.594
0.0,1900.5,0.841
139.5,2012.5,0.9816
636.0,2017.5,0.9875
1286.5,2014.0,1.0126
1870.5,2025.0,1.002
2274.0,2039.0,0.9686
2423.0,2029.0,0.9398
2336.5,2018.0,0.8913
2038.5,1989.0,0.8776999999999999
1607.0,1972.5,0.8726999999999999
1111.0,2029.5,0.9312
601.0,2159.0,1.1584
177.5,2154.5,1.2199
0.0,2083.5,1.0323
0.0,1980.0,0.9982
0.0,1838.0,0.9036
0.0,1682.5,0.7209
0.0,1554.5,0.6561
0.0,1472.5,0.4946
0.0,1427.0,0.4535
0.0,1406.5,0.4113
0.0,1405.0,0.4122
0.0,1448.0,0.421
0.0,1550.0,0.4825
0.0,1694.0,0.6103999999999999
139.5,1809.5,0.6573
636.0,1910.5,0.7276
1286.5,1980.5,0.7618
1870.5,2044.0,0.8081
2274.0,2073.5,0.8189
2423.0,2046.0,0.7929999999999999
2336.5,1997.5,0.7070000000000001
2038.5,1958.5,0.7031000000000001
1607.0,1938.0,0.7062
1111.0,2007.5,0.7939
601.0,2160.5,0.9258
177.5,2143.5,0.8744
0.0,2066.5,0.818
0.0,1955.5,0.7429000000000001
0.0,1804.0,0.6393
